Name	sR	sG	sB
PANTONE 8304 C	95	141	102
PANTONE 8305 C	90	134	89
PANTONE 8320 C	141	149	141
PANTONE 8321 C	130	151	120
PANTONE 8322 C	122	152	108
PANTONE 8323 C	108	153	90
PANTONE 8324 C	119	149	87
PANTONE 8325 C	114	140	73
PANTONE 8340 C	143	150	125
PANTONE 8341 C	141	151	112
PANTONE 8342 C	140	155	96
PANTONE 8343 C	135	155	78
PANTONE 8344 C	133	149	53
PANTONE 8345 C	131	142	37
PANTONE 8360 C	149	151	120
PANTONE 8361 C	152	152	105
PANTONE 8362 C	157	154	88
PANTONE 8363 C	164	156	65
PANTONE 8364 C	161	147	65
PANTONE 8365 C	162	142	53
PANTONE 8380 C	148	147	135
PANTONE 8381 C	151	146	120
PANTONE 8382 C	156	143	105
PANTONE 8383 C	162	141	91
PANTONE 8384 C	166	131	64
PANTONE 8385 C	166	125	52
PANTONE 8400 C	134	135	135
PANTONE 8401 C	127	127	126
PANTONE 8402 C	111	110	109
PANTONE 8403 C	96	94	92
PANTONE 8404 C	83	78	72
PANTONE 8405 C	76	68	61
PANTONE 8420 C	144	141	141
PANTONE 8421 C	130	128	128
PANTONE 8422 C	117	113	113
PANTONE 8423 C	103	96	95
PANTONE 8424 C	98	83	79
PANTONE 8425 C	93	76	70
PANTONE 8440 C	152	132	133
PANTONE 8441 C	160	123	123
PANTONE 8442 C	164	110	110
PANTONE 8443 C	170	97	95
PANTONE 8444 C	174	83	76
PANTONE 8445 C	170	75	64
PANTONE 8460 C	143	139	145
PANTONE 8461 C	135	124	134
PANTONE 8462 C	129	114	125
PANTONE 8463 C	121	98	113
PANTONE 8464 C	115	77	91
PANTONE 8465 C	112	72	83
PANTONE 8480 C	65	101	119
PANTONE 8481 C	80	96	119
PANTONE 8482 C	48	85	111
PANTONE 8483 C	21	68	104
PANTONE 8484 C	30	83	125
PANTONE 8485 C	41	93	138
PANTONE 8500 C	115	129	126
PANTONE 8501 C	87	120	105
PANTONE 8502 C	68	97	103
PANTONE 8503 C	43	61	66
PANTONE 8504 C	46	78	93
PANTONE 8505 C	54	86	101
PANTONE 8520 C	120	118	91
PANTONE 8521 C	80	84	67
PANTONE 8522 C	62	73	62
PANTONE 8523 C	46	60	53
PANTONE 8524 C	51	73	72
PANTONE 8525 C	56	81	83
PANTONE 8540 C	132	74	79
PANTONE 8541 C	109	65	71
PANTONE 8542 C	98	46	55
PANTONE 8543 C	91	48	67
PANTONE 8544 C	98	57	81
PANTONE 8545 C	97	60	86
PANTONE 8560 C	121	76	60
PANTONE 8561 C	118	66	66
PANTONE 8562 C	113	58	66
PANTONE 8563 C	114	67	63
PANTONE 8564 C	119	75	75
PANTONE 8565 C	118	78	80
PANTONE 8580 C	148	107	58
PANTONE 8581 C	131	89	49
PANTONE 8582 C	124	82	42
PANTONE 8583 C	109	67	30
PANTONE 8584 C	108	71	39
PANTONE 8585 C	113	78	48
PANTONE 8600 C	91	86	82
PANTONE 8601 C	76	68	65
PANTONE 8602 C	61	58	62
PANTONE 8603 C	47	48	58
PANTONE 8604 C	51	58	73
PANTONE 8605 C	57	67	84
PANTONE 8620 C	118	92	64
PANTONE 8621 C	97	76	55
PANTONE 8622 C	82	66	50
PANTONE 8623 C	67	58	50
PANTONE 8624 C	67	61	55
PANTONE 8625 C	69	64	59
PANTONE 8640 C	157	124	47
PANTONE 8641 C	168	134	34
PANTONE 8642 C	172	138	12
PANTONE 8643 C	173	137	0
PANTONE 8644 C	171	145	20
PANTONE 8645 C	166	148	42
PANTONE 8660 C	142	120	49
PANTONE 8661 C	136	124	27
PANTONE 8662 C	135	129	27
PANTONE 8663 C	127	133	10
PANTONE 8664 C	133	144	38
PANTONE 8665 C	132	147	55
PANTONE 8680 C	122	114	60
PANTONE 8681 C	120	124	50
PANTONE 8682 C	107	127	42
PANTONE 8683 C	95	135	36
PANTONE 8684 C	94	136	50
PANTONE 8685 C	98	141	65
PANTONE 8700 C	113	116	76
PANTONE 8701 C	104	121	66
PANTONE 8702 C	88	125	63
PANTONE 8703 C	66	128	60
PANTONE 8704 C	71	136	78
PANTONE 8705 C	75	141	89
PANTONE 8720 C	78	110	86
PANTONE 8721 C	85	117	85
PANTONE 8722 C	58	116	86
PANTONE 8723 C	32	128	92
PANTONE 8724 C	43	136	109
PANTONE 8725 C	49	140	118
PANTONE 8740 C	69	104	94
PANTONE 8741 C	45	104	84
PANTONE 8742 C	44	106	94
PANTONE 8743 C	0	106	102
PANTONE 8744 C	0	114	118
PANTONE 8745 C	10	120	129
PANTONE 8760 C	35	98	97
PANTONE 8761 C	0	95	104
PANTONE 8762 C	41	91	101
PANTONE 8763 C	0	84	108
PANTONE 8764 C	6	95	123
PANTONE 8765 C	28	103	135
PANTONE 8780 C	63	58	96
PANTONE 8781 C	58	67	93
PANTONE 8782 C	50	53	114
PANTONE 8783 C	29	54	109
PANTONE 8784 C	38	67	123
PANTONE 8785 C	48	76	134
PANTONE 8800 C	88	54	89
PANTONE 8801 C	82	55	95
PANTONE 8802 C	70	43	99
PANTONE 8803 C	78	41	96
PANTONE 8804 C	82	52	110
PANTONE 8805 C	87	62	121
PANTONE 8820 C	135	62	94
PANTONE 8821 C	131	46	93
PANTONE 8822 C	109	53	102
PANTONE 8823 C	98	38	102
PANTONE 8824 C	101	52	116
PANTONE 8825 C	101	54	126
PANTONE 8840 C	142	61	86
PANTONE 8841 C	140	46	85
PANTONE 8842 C	140	28	89
PANTONE 8843 C	130	27	96
PANTONE 8844 C	129	40	109
PANTONE 8845 C	127	55	118
PANTONE 8860 C	151	69	66
PANTONE 8861 C	146	60	71
PANTONE 8862 C	151	45	71
PANTONE 8863 C	150	29	64
PANTONE 8864 C	147	42	81
PANTONE 8865 C	144	55	94
PANTONE 8880 C	149	78	76
PANTONE 8881 C	155	65	82
PANTONE 8882 C	165	52	91
PANTONE 8883 C	168	52	64
PANTONE 8884 C	163	61	75
